회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),부채(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),비유동부채 (*)(IFRS연결)(천원),현금및현금성자산(*)(IFRS연결)(천원),매출채권(IFRS연결)(천원),재고자산(*)(IFRS연결)(천원),계약자산(IFRS연결)(천원),단기차입금(*)(IFRS연결)(천원),장기차입금(*)(IFRS연결)(천원),사채(*)(IFRS연결)(천원),매입채무(IFRS연결)(천원),유형자산(*)(IFRS연결)(천원),무형자산(*)(IFRS연결)(천원),선수금(*)(IFRS연결)(천원),자본금(*)(IFRS연결)(천원)
(주)MH에탄올,023150,2013/12,"129,697,936","83,812,413","45,885,523","43,178,092","75,260,635","8,551,778","108,868","10,691,393","12,486,229",,"64,376,121","8,166,707",0,"3,722","70,410,722","41,726","4,981,505","4,407,500"
(주)MH에탄올,023150,2014/12,"85,534,839","32,746,158","52,788,681","28,731,429","31,619,269","1,126,889","7,509","10,379,733","6,986,598",,"28,450,064","732,160",0,0,"36,083,190","410,429",0,"4,596,763"
(주)MH에탄올,023150,2015/12,"78,996,052","21,111,704","57,884,347","22,500,870","20,538,639","573,065","3,159,526","11,080,407","3,603,074",,"18,000,000","484,060",0,0,"36,846,510","416,174",0,"4,596,763"
(주)MH에탄올,023150,2016/12,"72,339,673","8,757,790","63,581,883","19,709,368","7,640,748","1,117,043","1,365,583","9,965,259","5,538,540",,"5,000,000","348,460",0,0,"37,390,804","348,103",0,"4,596,763"
(주)MH에탄올,023150,2017/12,"500,180,086","393,342,742","106,837,344","84,767,703","189,894,170","203,448,572","14,814,756","10,887,252","5,608,722",,"41,603,421","169,747,422",0,"457,631","389,268,406","499,887","378,092","4,596,763"
(주)MH에탄올,023150,2018/12,"440,177,523","348,592,051","91,585,473","29,576,016","141,080,352","207,511,699","6,903,478","10,529,867","6,538,026",0,"45,739,383","163,785,632",0,"627,047","390,589,052","489,887","414,005","4,596,763"
(주)MH에탄올,023150,2019/12,"451,474,451","372,085,374","79,389,077","32,814,839","282,350,933","89,734,441","9,075,329","9,499,084","8,173,323",0,"46,242,628","31,219,687",0,"528,575","402,623,574","375,556","537,941","4,596,763"
(주)MH에탄올,023150,2020/12,"449,679,366","369,253,871","80,425,495","37,728,511","146,138,663","223,115,208","12,487,284","9,609,406","8,357,467",0,"44,520,549","164,313,891",0,"496,354","395,517,355","354,756","917,713","4,596,763"
(주)MH에탄올,023150,2021/12,"451,460,752","366,757,413","84,703,339","52,073,620","297,329,931","69,427,482","26,580,456","9,911,269","9,185,766",0,"45,807,596","24,478,958",0,"541,838","385,959,512","905,837","390,069","4,596,763"
(주)MH에탄올,023150,2022/12,"447,440,404","352,042,677","95,397,727","52,735,465","190,941,543","161,101,134","14,940,678","11,660,413","8,772,681",0,"73,992,274","119,332,861",0,"631,879","376,473,746","897,258","448,366","4,596,763"
(주)MH에탄올,023150,2023/12,"445,231,563","346,161,545","99,070,017","59,884,864","183,464,749","162,696,796","26,113,377","12,139,034","10,964,395",0,"72,818,840","120,434,457",0,"497,205","366,740,534","896,178","447,034","4,596,763"
(주)MH에탄올,023150,2024/12,"401,701,921","324,598,919","77,103,002","60,311,748","290,086,194","34,512,724","27,884,932","11,990,896","9,845,810",0,"72,145,984","12,423,500",0,"442,935","326,129,882","895,098","53,204","4,596,763"
(주)MH에탄올,023150,2025/12,"261,165,503","198,604,373","62,561,130","47,821,233","176,656,983","21,947,390","11,611,260","11,113,846","10,102,239",0,"66,706,133","3,270,558",0,"442,929","196,982,344","894,016","46,287","4,596,763"
(주)SH에너지화학,002360,2013/12,"110,488,951","40,889,810","69,599,141","59,051,785","35,131,167","5,758,644","5,531,807","33,797,271","11,944,305",,"26,982,012","500,000",0,"2,599,202","32,065,097","10,003,184","1,084,642","55,739,975"
