회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),재무활동으로 인한 현금흐름(*)(IFRS연결)(천원),현금및현금성자산의 증가(IFRS연결)(천원),감가상각비(IFRS연결)(천원),개발비상각(IFRS연결)(천원),기타무형자산상각비(IFRS연결)(천원)
(주)MH에탄올,023150,2013/12,"6,114,050","-4,783,523","-1,818,277","109,456","3,458,341",0,"23,366"
(주)MH에탄올,023150,2014/12,"5,159,224","-4,570,335","-40,343,385","-101,359","827,315",0,290
(주)MH에탄올,023150,2015/12,"13,384,066","2,896,164","-13,157,831","3,152,018","1,133,492",0,290
(주)MH에탄올,023150,2016/12,"12,245,831","1,461,767","-15,501,541","-1,793,943","1,167,928",0,290
(주)MH에탄올,023150,2017/12,"3,336,890","-25,459,599","35,571,882","13,449,173","2,853,550",0,"1,714"
(주)MH에탄올,023150,2018/12,"-11,269,669","40,276,387","-36,917,995","-7,911,278","12,243,483",0,"10,000"
(주)MH에탄올,023150,2019/12,"11,368,931","-3,854,102","-5,342,979","2,171,850","13,554,462",0,"10,000"
(주)MH에탄올,023150,2020/12,"18,985,796","-6,483,966","-9,089,875","3,411,955","15,042,089",0,"10,000"
(주)MH에탄올,023150,2021/12,"26,371,475","-2,714,918","-9,563,109","14,093,172","14,841,721",0,"10,630"
(주)MH에탄올,023150,2022/12,"16,477,364","-16,817,578","-11,299,564","-11,639,778","14,512,373",0,"8,579"
(주)MH에탄올,023150,2023/12,"19,203,342","1,533,262","-9,563,446","11,172,699","14,264,953",0,"1,080"
(주)MH에탄올,023150,2024/12,"16,998,921","-3,915,446","-11,311,920","1,771,554","14,637,981",0,"1,080"
(주)MH에탄올,023150,2025/12,"23,086,411","-11,255,270","-28,104,813","-16,273,672","12,230,519",0,"1,080"
(주)SH에너지화학,002360,2013/12,"5,949,724","-1,945,785","-689,969","3,343,596","1,952,417",0,"273,003"
(주)SH에너지화학,002360,2014/12,"24,749,424","-2,050,449","-20,288,485","2,261,960","1,947,708",0,"305,744"
(주)SH에너지화학,002360,2015/12,"24,630,676","-4,985,240","-7,798,670","11,853,889","2,031,956",0,"282,706"
(주)SH에너지화학,002360,2016/12,"11,685,757","3,930,942","-8,723,234","6,801,490","2,009,503",0,"274,428"
(주)SH에너지화학,002360,2017/12,"14,208,400","-1,347,063","-6,093,691","6,668,383","2,072,739",0,"191,842"
(주)SH에너지화학,002360,2018/12,"5,202,762","-4,046,569","-4,917,195","-3,721,597","2,121,978",0,"204,453"
(주)SH에너지화학,002360,2019/12,"16,081,690","-6,337,450","1,774,177","11,405,934","2,299,868",0,"222,761"
(주)SH에너지화학,002360,2020/12,"4,213,790","-11,976,245","164,900","-7,828,286","2,376,710",0,"234,719"
(주)SH에너지화학,002360,2021/12,"-3,788,840","-9,604,190","-297,147","-13,482,214","2,444,391",0,"230,630"
(주)SH에너지화학,002360,2022/12,"-2,342,285","-2,724,499","2,639,757","-2,435,960","2,517,890",0,"205,784"
(주)SH에너지화학,002360,2023/12,"4,263,568","4,117,688","-2,194,933","6,211,812","2,665,986",0,"92,802"
(주)SH에너지화학,002360,2024/12,"-4,720,371","1,157,560","-974,638","-4,035,805","2,366,003",0,"77,425"
(주)SH에너지화학,002360,2025/12,"-3,906,704","1,227,787","-777,532","-3,699,122","1,945,485",0,"54,783"
(주)SIMPAC,009160,2013/12,"12,060,558","-49,795,709","23,306,146","-14,417,196","3,529,867",0,0
(주)SIMPAC,009160,2014/12,"34,443,800","10,539,189","-28,130,371","16,999,820","5,336,935",0,0
(주)SIMPAC,009160,2015/12,"10,256,628","-15,982,486","3,951,056","-1,586,584","5,504,898",0,"103,612"
(주)SIMPAC,009160,2016/12,"35,245,662","-4,526,973","-4,452,346","26,900,227","5,753,899",0,"112,111"
(주)SIMPAC,009160,2017/12,"-9,543,549","-377,362","-10,260,990","-21,120,715","6,769,298",0,"13,254"
(주)SIMPAC,009160,2018/12,"37,360,242","34,396,141","10,049,492","81,695,078","9,561,040",0,"172,548"
(주)SIMPAC,009160,2019/12,"37,470,315","-30,908,323","9,041,402","15,400,004","13,158,503",0,"347,858"
(주)SIMPAC,009160,2020/12,"-17,042,761","13,776,882","3,380,907","-4,136,523","12,724,901",0,"365,630"
(주)SIMPAC,009160,2021/12,"63,747,133","3,089,555","25,828,856","94,789,846","11,814,980",0,"374,410"
(주)SIMPAC,009160,2022/12,"2,972,365","-36,962,358","25,020,057","-9,267,526","9,540,744",0,"47,350"
(주)SIMPAC,009160,2023/12,"64,061,408","-15,514,541","75,452,581","123,935,209","10,904,180",0,"921,560"
(주)SIMPAC,009160,2024/12,"-20,757,668","-90,577,824","-92,777,643","-203,188,201","11,254,609",0,"1,289,655"
(주)SIMPAC,009160,2025/12,"48,449,677","-77,539,410","83,139,012","53,517,180","13,775,094",0,"2,213,625"
(주)STX,011810,2013/12,"130,779,000","-28,285,000","-343,552,000","-240,654,000","22,544,000",0,"4,339,000"
(주)STX,011810,2014/12,"-76,097,000","44,980,000","77,015,000","46,135,000","8,687,000",0,"491,000"
(주)STX,011810,2015/12,"-15,950,000","42,142,000","-61,762,000","-34,277,000","7,747,000",0,"451,000"
(주)STX,011810,2016/12,"57,833,000","53,174,000","-140,896,000","-29,313,000","6,589,000",0,"318,000"
(주)STX,011810,2017/12,"100,295,000","47,311,000","-96,231,000","47,812,000","2,931,000",0,"99,000"
(주)STX,011810,2018/12,"-48,114,000","24,797,000","-28,778,000","-51,225,000","2,845,000",0,"104,000"
(주)STX,011810,2019/12,"528,000","-26,727,000","21,637,000","-4,254,000","5,496,000",0,"88,000"
(주)STX,011810,2020/12,"57,915,000","-12,083,000","-57,741,000","-13,905,000","9,337,000",0,"123,000"
(주)STX,011810,2021/12,"-12,528,000","1,726,000","2,746,000","-6,524,000","16,108,000",0,"143,000"
(주)STX,011810,2022/12,"-84,572,000","-16,846,000","99,770,000","-863,000","15,721,000",0,"177,000"
(주)STX,011810,2023/12,"-61,243,000","-2,253,000","91,986,000","29,641,000","10,276,000",0,"148,000"
(주)STX,011810,2024/12,"34,951,000","-6,898,000","-34,146,000","-3,399,000","7,356,000",0,0
(주)STX,011810,2025/12,"34,501,000","-16,481,000","-36,080,000","-18,398,000","7,575,000",0,0
(주)STX그린로지스,465770,2023/12,"547,546","-9,005,310","11,364,059","2,811,609","3,035,009",0,821
(주)STX그린로지스,465770,2024/12,"24,055,333","-35,784,758","23,160,913","11,172,020","15,119,138",0,"31,343"
(주)STX그린로지스,465770,2025/12,"16,535,914","744,243","-24,375,452","-6,650,256","30,876,463",0,"277,417"
(주)TCC스틸,002710,2013/12,"-29,220,038","12,243,850","15,086,672","-1,969,874","12,565,761",0,"94,159"
(주)TCC스틸,002710,2014/12,"-21,440,429","4,309,765","9,083,392","-7,949,005","13,471,440",0,"153,887"
(주)TCC스틸,002710,2015/12,"30,047,778","21,985,692","-47,690,562","4,560,858","10,551,124",0,"77,856"
(주)TCC스틸,002710,2016/12,"-35,273,178","87,996,322","-54,304,570","-1,509,577","6,381,218",0,0
(주)TCC스틸,002710,2017/12,"-1,168,958","272,218","998,322","-246,105","5,733,159",0,0
(주)TCC스틸,002710,2018/12,"21,492,009","-637,436","-6,479,222","14,580,141","5,336,285",0,0
(주)TCC스틸,002710,2019/12,"-6,746,810","-11,936,714","10,082,864","-8,278,046","6,394,809",0,0
(주)TCC스틸,002710,2020/12,"-5,592,098","-4,691,300","8,170,194","-1,071,384","6,709,850",0,"19,127"
(주)TCC스틸,002710,2021/12,"7,630,671","27,690,011","-7,758,386","27,838,517","7,392,269",0,"76,509"
(주)TCC스틸,002710,2022/12,"-12,037,744","-64,577,595","67,933,266","-9,146,867","7,109,081",0,"76,509"
(주)TCC스틸,002710,2023/12,"5,768,738","-100,750,359","88,625,183","-6,688,997","7,297,706",0,"76,509"
(주)TCC스틸,002710,2024/12,"17,931,820","-29,885,426","-6,907,095","-18,110,468","9,558,834",0,"76,509"
(주)TCC스틸,002710,2025/12,"24,989,427","-5,445,395","-927,729","18,576,069","16,142,779",0,"57,382"
(주)강원랜드,035250,2013/12,"424,407,127","-193,315,698","-152,767,943","78,301,518","75,904,466",0,"634,330"
(주)강원랜드,035250,2014/12,"510,413,141","-427,372,634","-147,999,469","-64,948,222","74,355,905",0,"1,279,579"
(주)강원랜드,035250,2015/12,"574,981,576","-398,949,073","-172,328,148","3,723,424","73,628,181",0,"698,501"
(주)강원랜드,035250,2016/12,"596,486,851","-411,462,350","-197,744,218","-12,719,717","74,816,572",0,"185,402"
(주)강원랜드,035250,2017/12,"463,050,000","-250,223,124","-200,251,608","12,574,597","74,166,480",0,"62,873"
(주)강원랜드,035250,2018/12,"363,918,692","-202,048,061","-202,353,847","-56,718,904","66,018,926",0,"66,339"
