회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),매출총이익(손실)(IFRS연결)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),법인세비용차감전순이익(손실)(IFRS연결)(천원),당기순이익(손실)(IFRS연결)(천원),이자비용(IFRS연결)(천원)
(주)MH에탄올,023150,2013/12,"62,199,887","54,316,861","7,883,025","3,009,741","708,934","7,028,234","3,449,237"
(주)MH에탄올,023150,2014/12,"48,983,781","37,109,977","11,873,804","8,744,851","4,569,592","-203,193","1,555,697"
(주)MH에탄올,023150,2015/12,"50,386,203","36,425,005","13,961,198","11,092,013","10,027,889","7,778,593","873,794"
(주)MH에탄올,023150,2016/12,"48,897,025","33,962,392","14,934,634","11,874,476","10,451,380","8,144,684","403,741"
(주)MH에탄올,023150,2017/12,"51,977,132","37,225,576","14,751,556","8,116,711","6,611,757","4,308,068","2,347,045"
(주)MH에탄올,023150,2018/12,"72,795,863","53,524,709","19,271,154","1,228,204","-9,905,435","-12,033,428","12,835,878"
(주)MH에탄올,023150,2019/12,"80,879,342","54,219,181","26,660,161","7,829,103","-5,455,052","-7,552,043","10,745,704"
(주)MH에탄올,023150,2020/12,"94,645,239","59,823,958","34,821,281","15,781,923","5,062,468","3,802,823","12,276,917"
(주)MH에탄올,023150,2021/12,"102,066,937","58,211,274","43,855,663","23,335,313","11,567,974","8,688,865","12,134,724"
(주)MH에탄올,023150,2022/12,"110,722,402","67,461,914","43,260,488","21,924,889","10,153,257","11,905,847","11,711,547"
(주)MH에탄올,023150,2023/12,"105,484,095","64,578,664","40,905,431","18,917,522","7,790,120","5,214,660","12,192,511"
(주)MH에탄올,023150,2024/12,"100,419,425","62,800,520","37,618,905","10,667,610","-15,327,403","-19,633,918","11,467,623"
(주)MH에탄올,023150,2025/12,"94,719,110","59,208,628","35,510,481","9,486,237","-14,588,765","-11,847,369","8,573,713"
(주)SH에너지화학,002360,2013/12,"231,912,218","213,952,261","17,959,957","6,424,227","5,333,936","4,606,872","1,211,307"
(주)SH에너지화학,002360,2014/12,"230,912,587","197,661,842","33,250,745","21,271,907","21,021,932","16,733,050","797,274"
(주)SH에너지화학,002360,2015/12,"216,441,364","179,135,051","37,306,313","22,950,175","17,561,153","12,590,617","270,414"
(주)SH에너지화학,002360,2016/12,"218,397,677","179,759,098","38,638,579","24,101,160","23,294,276","18,028,878","114,261"
(주)SH에너지화학,002360,2017/12,"188,114,822","161,824,273","26,290,550","14,181,936","12,568,384","9,879,057","87,453"
(주)SH에너지화학,002360,2018/12,"183,598,766","171,330,094","12,268,672","2,100,669","2,708,676","2,033,570","92,440"
(주)SH에너지화학,002360,2019/12,"140,852,575","134,184,400","6,668,174","-3,131,128","-3,303,961","-3,090,151","129,835"
(주)SH에너지화학,002360,2020/12,"93,584,262","92,496,181","1,088,081","-7,851,791","-9,343,771","-6,945,600","203,144"
(주)SH에너지화학,002360,2021/12,"139,801,659","129,869,151","9,932,508","342,825","1,219,552","611,077","199,789"
(주)SH에너지화학,002360,2022/12,"167,355,875","156,395,080","10,960,794","805,218","2,439,481","1,832,404","374,081"
(주)SH에너지화학,002360,2023/12,"134,037,727","127,841,816","6,195,911","-4,115,868","-3,250,023","-2,582,297","676,562"
(주)SH에너지화학,002360,2024/12,"126,047,268","126,079,772","-32,504","-9,694,396","-12,651,528","-10,416,231","655,101"
(주)SH에너지화학,002360,2025/12,"98,627,095","100,958,948","-2,331,853","-12,249,905","-13,071,790","-10,784,069","573,800"
(주)SIMPAC,009160,2013/12,"205,751,154","164,405,183","41,345,972","23,599,349","27,807,681","20,043,596","1,423,590"
(주)SIMPAC,009160,2014/12,"263,152,264","220,084,616","43,067,648","17,341,900","16,767,926","14,312,319","2,046,202"
(주)SIMPAC,009160,2015/12,"269,528,038","221,412,942","48,115,096","21,241,031","21,963,273","16,449,973","1,449,136"
(주)SIMPAC,009160,2016/12,"267,074,156","217,713,888","49,360,268","23,566,192","21,702,147","16,183,843","1,407,278"
(주)SIMPAC,009160,2017/12,"230,634,812","193,009,825","37,624,987","11,697,915","9,576,891","12,895,699","1,158,468"
(주)SIMPAC,009160,2018/12,"306,150,809","271,995,017","34,155,792","10,190,572","71,517,279","69,198,558","2,502,486"
(주)SIMPAC,009160,2019/12,"430,085,162","385,305,111","44,780,051","11,141,319","13,075,075","9,487,516","3,213,238"
(주)SIMPAC,009160,2020/12,"365,863,303","328,185,407","37,677,896","7,787,378","42,861,692","34,139,484","2,954,966"
(주)SIMPAC,009160,2021/12,"613,012,780","453,576,259","159,436,521","106,401,536","115,662,132","90,832,863","3,566,962"
(주)SIMPAC,009160,2022/12,"672,228,713","496,587,578","175,641,135","118,946,231","95,618,434","76,137,344","5,761,061"
(주)SIMPAC,009160,2023/12,"609,449,638","547,036,696","62,412,942","17,502,289","-6,415,435","-6,463,854","13,354,680"
(주)SIMPAC,009160,2024/12,"785,061,758","709,617,282","75,444,476","24,452,879","37,950,882","27,454,726","11,625,684"
(주)SIMPAC,009160,2025/12,"1,179,040,875","1,054,318,038","124,722,837","45,956,316","27,218,582","22,353,244","15,852,695"
(주)STX,011810,2013/12,"2,449,401,000","3,140,865,000","-691,464,000","-961,776,000","-1,496,671,000","-1,595,630,000","89,818,000"
(주)STX,011810,2014/12,"1,634,606,000","1,513,363,000","121,243,000","35,691,000","361,948,000","380,584,000","46,824,000"
(주)STX,011810,2015/12,"1,630,827,000","1,586,081,000","44,746,000","-34,170,000","-58,278,000","-48,982,000","40,644,000"
(주)STX,011810,2016/12,"1,720,153,000","1,635,394,000","84,759,000","-34,169,000","-457,898,000","-457,446,000","37,511,000"
(주)STX,011810,2017/12,"1,803,878,000","1,718,572,000","85,306,000","44,053,000","334,626,000","334,386,000","21,843,000"
(주)STX,011810,2018/12,"1,502,985,000","1,483,048,000","19,937,000","-14,778,000","9,775,000","9,107,000","13,206,000"
(주)STX,011810,2019/12,"1,471,164,000","1,424,697,000","46,467,000","1,748,000","-32,919,000","-33,218,000","15,626,000"
(주)STX,011810,2020/12,"975,567,000","935,191,000","40,376,000","-493,000","-20,566,000","-20,448,000","12,560,000"
(주)STX,011810,2021/12,"925,509,000","870,164,000","55,345,000","9,040,000","-19,666,000","-23,318,000","10,319,000"
(주)STX,011810,2022/12,"1,188,575,000","1,140,946,000","47,629,000","-1,955,000","-19,571,000","-18,650,000","15,133,000"
(주)STX,011810,2023/12,"903,772,000","886,640,000","17,132,000","-15,004,000","-29,338,000","-50,368,000","23,691,000"
(주)STX,011810,2024/12,"827,800,000","799,050,000","28,750,000","-8,709,000","-44,946,000","-40,885,000","20,580,000"
(주)STX,011810,2025/12,"641,312,000","622,524,000","18,788,000","-61,945,000","-165,458,000","-166,411,000","18,160,000"
(주)STX그린로지스,465770,2023/12,"28,310,433","25,654,767","2,655,666","1,847,006","1,454,057","1,437,256","396,906"
(주)STX그린로지스,465770,2024/12,"70,543,552","58,777,052","11,766,499","7,157,566","25,642,817","25,558,945","2,891,691"
(주)STX그린로지스,465770,2025/12,"191,383,881","188,177,033","3,206,848","-12,473,063","-38,135,583","-37,739,115","6,347,454"
(주)TCC스틸,002710,2013/12,"500,832,754","474,104,834","26,727,920","-7,745,721","-24,102,361","-19,955,830","13,182,471"
(주)TCC스틸,002710,2014/12,"518,995,240","483,588,495","35,406,745","344,471","-14,942,475","-15,813,610","13,854,998"
(주)TCC스틸,002710,2015/12,"495,795,871","451,936,886","43,858,984","15,855,157","-15,211,287","-110,218,983","7,297,746"
(주)TCC스틸,002710,2016/12,"444,453,635","402,898,839","41,554,796","15,351,135","23,634,173","16,948,843","6,078,027"
(주)TCC스틸,002710,2017/12,"391,370,092","356,978,389","34,391,703","8,106,455","5,082,560","1,503,708","5,220,217"
(주)TCC스틸,002710,2018/12,"413,176,279","377,890,304","35,285,975","17,080,602","15,364,226","9,755,131","5,179,538"
(주)TCC스틸,002710,2019/12,"437,173,902","405,618,477","31,555,425","12,856,170","10,751,593","5,037,267","5,675,854"
(주)TCC스틸,002710,2020/12,"431,797,912","411,335,226","20,462,686","970,928","-464,301","-1,687,460","6,061,332"
(주)TCC스틸,002710,2021/12,"536,651,129","487,779,233","48,871,897","25,597,716","39,235,030","28,723,275","5,171,276"
(주)TCC스틸,002710,2022/12,"684,414,631","605,629,956","78,784,676","43,983,211","35,652,982","29,566,778","7,822,500"
(주)TCC스틸,002710,2023/12,"624,418,627","583,082,303","41,336,324","11,250,766","-10,232,974","-8,293,018","7,632,154"
(주)TCC스틸,002710,2024/12,"582,074,815","538,782,146","43,292,669","12,272,472","25,615,209","20,222,969","9,324,055"
(주)TCC스틸,002710,2025/12,"611,513,909","591,472,497","20,041,411","-10,909,334","-9,386,010","-7,600,798","15,876,676"
(주)강원랜드,035250,2013/12,"1,361,286,598","726,091,776","635,194,822","388,041,305","393,813,133","297,596,347","272,921"
(주)강원랜드,035250,2014/12,"1,496,541,441","722,297,880","774,243,561","513,172,053","495,934,958","359,348,568","247,465"
(주)강원랜드,035250,2015/12,"1,633,716,839","759,645,970","874,070,869","595,400,402","593,883,380","441,629,101","226,922"
(주)강원랜드,035250,2016/12,"1,696,532,511","785,177,091","911,355,420","618,616,288","596,860,541","454,533,659","739,952"
(주)강원랜드,035250,2017/12,"1,604,470,055","787,533,848","816,936,206","530,897,334","566,194,225","437,540,507","236,815"
(주)강원랜드,035250,2018/12,"1,438,059,299","729,593,460","708,465,839","430,699,991","410,687,883","297,236,881","234,757"
(주)강원랜드,035250,2019/12,"1,520,080,449","736,659,054","783,421,395","501,153,152","488,924,925","334,653,892","1,961,001"
(주)강원랜드,035250,2020/12,"478,578,866","544,499,638","-65,920,771","-431,583,874","-404,500,739","-275,879,104","1,875,678"
(주)강원랜드,035250,2021/12,"788,432,830","726,783,225","61,649,605","-52,695,286","-14,159,218","-10,582,086","1,711,386"
(주)강원랜드,035250,2022/12,"1,270,685,819","921,790,727","348,895,092","217,565,214","167,851,826","115,612,768","1,827,307"
(주)강원랜드,035250,2023/12,"1,388,572,378","979,376,845","409,195,533","282,263,015","457,241,381","340,880,761","7,658,834"
(주)강원랜드,035250,2024/12,"1,426,862,782","1,007,977,631","418,885,150","285,790,455","565,346,340","456,893,168","2,765,885"
(주)강원랜드,035250,2025/12,"1,476,727,049","1,094,037,633","382,689,416","235,311,359","389,434,401","318,192,728","2,741,142"
(주)갤럭시아에스엠,011420,2013/12,"46,437,304","41,764,586","4,672,718","747,160","-1,541,398","-1,736,750","393,067"
(주)갤럭시아에스엠,011420,2014/12,"43,885,894","40,216,941","3,668,953","-423,280","-138,222","-255,270","478,717"
(주)갤럭시아에스엠,011420,2015/12,"62,472,754","56,009,656","6,463,098","2,101,041","2,605,510","1,863,773","368,956"
(주)갤럭시아에스엠,011420,2016/12,"52,626,331","51,678,856","947,474","-3,713,866","-1,782,695","-1,562,620","197,966"
